0.744281045752;(0.02528408043144037, 0.9039147219411362, 0.29648009656641794, 'RBF')
0.747549019608;(0.09774646740907944, 0.10897010118889106, 0.49891538936315005, 'Linear')
0.754901960784;[0.06930461386480724, 0.15310571462920786, 0.3022607959310205, 'Linear']
0.782679738562;[0.09774646740907944, 0.10897010118889106, 0.29648009656641794, 'Linear']
0.782679738562;[0.09774646740907944, 0.10897010118889106, 0.29648009656641794, 'Linear']
0.786764705882;[0.02528408043144037, 0.10897010118889106, 0.49891538936315005, 'Linear']
0.793300653595;[0.02528408043144037, 0.22947262660776413, 0.29648009656641794, 'RBF']
0.803104575163;[0.02528408043144037, 0.10897010118889106, 0.49891538936315005, 'Linear']
0.803104575163;[0.02528408043144037, 0.10897010118889106, 0.49891538936315005, 'Linear']
0.803104575163;[0.02528408043144037, 0.10897010118889106, 0.49891538936315005, 'Linear']
